column00,call_no,incident_type,type_description,address,alarm_time,alarms,primary_unit,census_tract,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude,year,totalIncidentsPerType,totalIncidentsperneigh
770,F150050405,118,"Trash or rubbish fire, contained","100 BLOCK TECUMSEH ST, PITTSBURGH PA 15207",6/30/15 0:47,1,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40861174,-79.94313508,2015,44,32
771,F150050661,131,Passenger vehicle fire,"4900 BLOCK BAUM BLVD, PITTSBURGH PA 15224",6/30/15 20:03,0,231EN06,804,Bloomfield,7,8,42003080400,2,8,5,23-Feb,40.45430778,-79.94651873,2015,98,21
772,F150050834,140,"Natural vegetation fire, Other","800 BLOCK ESTELLA ST, PITTSBURGH PA 15210",7/1/15 13:57,0,231EN27,1809,Beltzhoover,3,18,42003562400,4,18,3,21-Apr,40.41579476,-80.00057154,2015,31,17
773,F150050889,113,"Cooking fire, confined to container","4200 BLOCK MCCASLIN ST, PITTSBURGH PA 15217",7/1/15 17:05,1,231EN12,1517,Greenfield,5,15,42003151700,3,15,4,12-Feb,40.42298243,-79.9367067,2015,253,16
774,F150050957,111,Building fire,"1500 BLOCK FORSYTHE ST, PITTSBURGH PA 15212",7/1/15 22:22,1,231EN35,2715,Marshall-Shadeland,1,27,42003271500,1,27,1,14-Jan,40.47076013,-80.03367998,2015,230,19
776,F150051201,131,Passenger vehicle fire,"3000 BLOCK NEW BEAVER AVE, PITTSBURGH PA 15212",7/2/15 20:51,0,231EN35,2704,Marshall-Shadeland,1,27,42003980900,1,27,1,14-Jan,40.47086985,-80.03958003,2015,98,19
777,F150051461,140,"Natural vegetation fire, Other","800 BLOCK ASHDALE ST, PITTSBURGH PA 15211",7/3/15 20:17,0,231EN27,1809,Beltzhoover,3,18,42003562400,4,18,3,21-Apr,40.41531634,-79.99962123,2015,31,17
778,F150051574,113,"Cooking fire, confined to container","2100 BLOCK PIONEER AVE, PITTSBURGH PA 15226",7/4/15 9:24,1,231EN26,1917,Brookline,4,19,42003191700,4,19,6,26-Apr,40.40110113,-80.01955761,2015,253,35
779,F150051585,131,Passenger vehicle fire,"300 BLOCK FLOWERS AVE, PITTSBURGH PA 15207",7/4/15 10:36,0,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.41085832,-79.94056013,2015,98,32
781,F150051623,113,"Cooking fire, confined to container","3900 BLOCK VINCETON ST, PITTSBURGH PA 15214",7/4/15 14:14,1,231EN34,2602,Perry North,1,26,42003260200,1,26,1,15-Jan,40.48852507,-80.02341839,2015,253,14
820,F150055339,131,Passenger vehicle fire,"MOUNTAIN AVE & FISHER ST, PITTSBURGH PA 15210",7/17/15 0:22,0,231EN24,1606,St. Clair,3,16,42003561700,4,16,3,8-Apr,40.41151333,-79.9772403,2015,98,2
783,F150051685,130,"Mobile property (vehicle) fire, Other","100 BLOCK VIRGINIA AVE, PITTSBURGH PA 15211",7/4/15 19:47,0,231EN27,1914,Mount Washington,2,19,42003191400,5,19,3,27-Apr,40.4295302,-80.00733147,2015,22,32
785,F150051833,113,"Cooking fire, confined to container","4000 BLOCK PENN AVE, PITTSBURGH PA 15224",7/5/15 9:35,1,231EN06,902,Bloomfield,7,9,42003090300,2,9,5,6-Mar,40.46513539,-79.95790764,2015,253,21
787,F150051888,151,"Outside rubbish, trash or waste fire","SYLVAN AVE & GREENFIELD AVE, PITTSBURGH PA 15207",7/5/15 14:19,0,231EN12,1516,Hazelwood,5,15,42003562900,3,15,4,12-Feb,40.42566482,-79.94983541,2015,82,32
788,F150051939,154,Dumpster or other outside trash receptacle fire,"FRIENDSHIP AVE & S MILLVALE, PITTSBURGH PA 15224",7/5/15 18:37,0,231EN06,809,Bloomfield,7,8,42003080900,2,8,5,6-Mar,40.46268763,-79.94558143,2015,43,21
790,F150051946,113,"Cooking fire, confined to container","5100 BLOCK DEARBORN ST, PITTSBURGH PA 15224",7/5/15 19:19,1,231EN06,1017,Garfield,9,10,42003101700,2,10,5,4-Mar,40.4656688,-79.94266488,2015,253,19
791,F140042572,131,Passenger vehicle fire,"1100 BLOCK HALL ST, PITTSBURGH PA 15212",6/15/14 3:49,0,231EN35,2715,Marshall-Shadeland,1,27,42003271500,1,27,1,14-Jan,40.47674065,-80.0282123,2014,106,13
792,F150051951,111,Building fire,"900 BLOCK BLACKADORE ST, PITTSBURGH PA 15226",7/5/15 19:48,1,231EN08,1301,Homewood North,9,13,42003130100,2,13,5,17-Mar,40.45552455,-79.88306177,2015,230,24
793,F150051962,113,"Cooking fire, confined to container","5600 BLOCK DUNMOYLE ST, PITTSBURGH PA 15217",7/5/15 20:36,1,231EN12,1402,Squirrel Hill North,8,14,42003140200,3,14,4,17-Feb,40.44747376,-79.92926778,2015,253,14
794,F140043423,131,Passenger vehicle fire,"1900 BLOCK BROWNSVILLE RD, PITTSBURGH PA 15210",6/18/14 15:02,0,231EN23,2901,Carrick,4,29,42003290100,4,29,3,12-Apr,40.39605243,-79.9875055,2014,106,38
795,F150052002,151,"Outside rubbish, trash or waste fire","7100 BLOCK MONTICELLO ST, PITTSBURGH PA 15208",7/5/15 23:36,0,231EN17,1302,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45996066,-79.8976539,2015,82,24
796,F150052020,151,"Outside rubbish, trash or waste fire","HAMILTON AVE & BRUSHTON AVE, PITTSBURGH PA 15208",7/6/15 2:24,0,231EN17,1304,Homewood South,9,13,42003130400,2,13,5,17-Mar,40.45272535,-79.88919046,2015,82,30
797,F150052108,111,Building fire,"4000 BLOCK FRANKLIN RD, PITTSBURGH PA 15214",7/6/15 11:23,1,231EN38,2602,Perry North,1,26,42003260200,1,26,1,15-Jan,40.49129286,-80.01884949,2015,230,14
798,F150052290,111,Building fire,"700 BLOCK EXCELSIOR ST, PITTSBURGH PA 15210",7/6/15 22:50,1,231EN30,1803,Allentown,3,18,42003180300,4,18,3,5-Apr,40.422704,-79.99577535,2015,230,19
799,F150052342,118,"Trash or rubbish fire, contained","3600 BLOCK FORBES AVE, PITTSBURGH PA 15213",7/7/15 7:22,1,231EN10,405,Central Oakland,3,4,42003040500,3,4,4,14-Feb,40.44026446,-79.9574405,2015,44,19
800,F150053109,162,Outside equipment fire,"7100 BLOCK HAMILTON AVE, PITTSBURGH PA 15208",7/9/15 5:50,0,231EN17,1303,Homewood South,9,13,42003130300,2,13,5,17-Mar,40.45480539,-79.89936147,2015,8,30
802,F150053243,113,"Cooking fire, confined to container","100 BLOCK PENFORT ST, PITTSBURGH PA 15212",7/9/15 14:51,1,231EN34,2609,Northview Heights,1,26,42003260900,1,26,1,13-Jan,40.4733496,-80.00282222,2015,253,12
803,F150053267,111,Building fire,"100 BLOCK MAYFLOWER ST, PITTSBURGH PA 15206",7/9/15 16:10,1,231EN08,1208,Larimer,9,12,42003120800,2,12,5,10-Mar,40.46429474,-79.91609347,2015,230,20
804,F150053600,113,"Cooking fire, confined to container","5700 BLOCK CENTRE AVE, PITTSBURGH PA 15206",7/10/15 18:21,1,231EN08,705,Shadyside,8,7,42003070500,2,7,4,11-Mar,40.45700782,-79.93345844,2015,253,21
805,F160022613,131,Passenger vehicle fire,"W SAW MILL RUN BLVD & WOODRUF, PITTSBURGH PA 15211",3/24/16 16:03,0,231EN28,1911,Mount Washington,2,19,42003191400,5,19,3,1-Apr,40.42585747,-80.01986591,2016,114,20
806,F140044780,160,"Special outside fire, Other","N LANG AVE & FOREST WAY, PITTSBURGH PA 15208",6/23/14 19:03,0,231EN17,1301,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45834623,-79.89835728,2014,24,25
807,F130091887,113,"Cooking fire, confined to container","1000 BLOCK BRINTELL ST, PITTSBURGH PA 15201",12/25/13 17:39,1,231EN07,1005,Stanton Heights,9,10,42003100500,2,10,5,7-Mar,40.47706081,-79.93876036,2013,240,11
808,F150053729,100,"Fire, Other","300 BLOCK EDITH ST, PITTSBURGH PA 15211",7/11/15 10:20,1,231EN27,1911,Duquesne Heights,2,19,42003191100,5,19,3,1-Apr,40.43767461,-80.02395121,2015,17,6
809,F150053917,111,Building fire,"900 BLOCK EUREKA ST, PITTSBURGH PA 15211",7/12/15 2:18,1,231EN27,1803,Allentown,3,18,42003180300,4,18,3,5-Apr,40.4237166,-79.991727,2015,230,19
810,F150053942,111,Building fire,"900 BLOCK EUREKA ST, PITTSBURGH PA 15210",7/12/15 6:37,1,231EN27,1803,Allentown,3,18,42003180300,4,18,3,5-Apr,40.4237166,-79.991727,2015,230,19
811,F150054334,131,Passenger vehicle fire,"WHEELER ST & MOHLER ST, PITTSBURGH PA 15221",7/13/15 17:11,0,231EN17,1301,Homewood North,9,13,42003130100,2,13,5,17-Mar,40.4561791,-79.88442576,2015,98,24
812,F140044833,111,Building fire,"4900 BLOCK BAUM BLVD, PITTSBURGH PA 15213",6/23/14 23:47,1,231EN10,804,Bloomfield,7,8,42003080400,2,8,5,23-Feb,40.45430778,-79.94651873,2014,188,23
813,F150054360,111,Building fire,"5300 BLOCK SCHENLEY DR, PITTSBURGH PA 15217",7/13/15 19:34,1,231EN18,1413,Garfield,9,10,42003101600,2,10,5,4-Mar,40.47218228,-79.9376867,2015,230,19
815,F150054445,111,Building fire,"200 BLOCK 45TH ST, PITTSBURGH PA 15201",7/14/15 1:32,2,231EN06,902,Central Lawrenceville,7,9,42003090100,2,9,2,3-Mar,40.4720956,-79.95932284,2015,230,16
817,F150022944,151,"Outside rubbish, trash or waste fire","700 BLOCK BERND ST, PITTSBURGH PA 15210",3/25/15 18:10,0,231EN27,1809,Beltzhoover,3,18,42003562400,4,18,3,21-Apr,40.41668863,-79.99825189,2015,82,17
818,F150055080,151,"Outside rubbish, trash or waste fire","PAULSON AVE & FRANKSTOWN AV, PITTSBURGH PA 15206",7/16/15 8:56,0,231EN08,1208,Larimer,9,12,42003120800,2,12,5,10-Mar,40.46089453,-79.91515988,2015,82,20
819,F150055183,113,"Cooking fire, confined to container","300 BLOCK N TAYLOR AVE, PITTSBURGH PA 15212",7/16/15 14:29,1,231EN37,2206,Central Northside,1,22,42003220600,1,22,1,21-Jan,40.45689549,-80.01026196,2015,253,15
4410,F130079380,100,"Fire, Other","200 BLOCK MAYTIDE ST, PITTSBURGH PA 15210",11/4/13 11:29,0,231EN23,2904,Carrick,4,29,42003290400,4,29,3,23-Apr,40.38445085,-79.98315784,2013,16,34
821,F150055361,162,Outside equipment fire,"TRACEY ST & PREBLE AVE, PITTSBURGH PA 15220",7/17/15 3:55,0,231EN35,2704,Marshall-Shadeland,1,27,42003980900,1,27,1,14-Jan,40.47358621,-80.04018352,2015,8,19
822,F150055506,113,"Cooking fire, confined to container","1400 BLOCK SWANTEK ST, PITTSBURGH PA 15204",7/17/15 14:32,1,231EN31,2022,Sheraden,2,20,42003202200,5,20,6,16-Jan,40.45368767,-80.06873694,2015,253,27
823,F150055622,113,"Cooking fire, confined to container","300 BLOCK SEMPLE ST, PITTSBURGH PA 15213",7/17/15 22:02,1,231EN10,405,Central Oakland,3,4,42003040500,3,4,4,14-Feb,40.43873757,-79.95709363,2015,253,19
824,F150055657,111,Building fire,"5500 BLOCK HAYS ST, PITTSBURGH PA 15206",7/18/15 0:31,1,23138413,1113,East Liberty,9,11,42003111300,2,11,5,8-Mar,40.4704408,-79.92959478,2015,230,28
825,F150055797,151,"Outside rubbish, trash or waste fire","SANDUSKY ST & STOCKTON ST, PITTSBURGH PA 15219",7/18/15 15:18,0,231EN32,2204,Allegheny Center,1,22,42003562700,1,22,1,20-Jan,40.45048347,-80.00288261,2015,82,6
826,F140045294,113,"Cooking fire, confined to container","6600 BLOCK LYRIC ST, PITTSBURGH PA 15206",6/25/14 14:29,1,231EN15,1203,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,15-Mar,40.46449546,-79.90514216,2014,238,22
828,F140046114,154,Dumpster or other outside trash receptacle fire,"N HIGHLAND AVE & STATION ST, PITTSBURGH PA 15206",6/28/14 17:06,0,231EN08,1115,East Liberty,9,11,42003111500,2,11,5,8-Mar,40.46375994,-79.92382059,2014,57,26
829,F150055853,150,"Outside rubbish fire, Other","500 BLOCK BLESSING ST, PITTSBURGH PA 15219",7/18/15 18:16,1,231EN10,506,Upper Hill,6,5,42003050600,3,5,2,24-Feb,40.45624381,-79.95599131,2015,48,7
831,F150055898,111,Building fire,"1500 BLOCK FEDERAL ST, PITTSBURGH PA 15212",7/18/15 21:41,1,231EN38,2509,Central Northside,6,25,42003220600,1,25,1,6-Jan,40.45838754,-80.00723517,2015,230,15
833,F150056424,131,Passenger vehicle fire,"1700 BLOCK BELLEAU DR, PITTSBURGH PA 15212",7/20/15 21:48,0,231EN38,2509,Fineview,6,25,42003250900,1,25,1,10-Jan,40.46030258,-80.00698007,2015,98,3
834,F150056477,151,"Outside rubbish, trash or waste fire","400 BLOCK DRYCOVE ST, PITTSBURGH PA 15210",7/21/15 6:26,0,231EN23,1806,Bon Air,4,18,42003562400,4,18,3,7-Apr,40.40554589,-79.99732536,2015,82,3
835,F150056514,111,Building fire,"3400 BLOCK FORBES AVE, PITTSBURGH PA 15213",7/21/15 8:35,1,231EN10,405,Central Oakland,3,4,42003040500,3,4,4,14-Feb,40.4384111,-79.96089738,2015,230,19
836,F150056529,151,"Outside rubbish, trash or waste fire","100 BLOCK SCHUBERT ST, PITTSBURGH PA 15212",7/21/15 9:26,0,231EN32,2412,Spring Garden,1,26,42003241200,1,26,1,11-Jan,40.47125337,-79.98962253,2015,82,8
837,F150056667,131,Passenger vehicle fire,"1900 BLOCK BROWNSVILLE RD, PITTSBURGH PA 15210",7/21/15 17:37,0,231EN23,2901,Carrick,4,29,42003290100,4,29,3,12-Apr,40.39605243,-79.9875055,2015,98,39
838,F150056696,111,Building fire,"7200 BLOCK MT VERNON ST, PITTSBURGH PA 15208",7/21/15 19:25,1,231EN17,1301,Homewood North,9,13,42003130100,2,13,5,17-Mar,40.46118212,-79.89442211,2015,230,24
839,F150056722,113,"Cooking fire, confined to container","700 BLOCK FORBES AVE, PITTSBURGH PA 15219",7/21/15 21:55,1,231EN04,103,Bluff,6,1,42003010300,3,1,2,4-Feb,40.43744092,-79.99310077,2015,253,12
840,F150022979,150,"Outside rubbish fire, Other","FERNLAND ST & ELWYN AVE, PITTSBURGH PA 15210",3/25/15 20:51,0,231EN26,3207,Overbrook,4,32,42003320700,4,32,3,25-Apr,40.37669061,-80.00348951,2015,48,11
841,F150022996,116,"Fuel burner/boiler malfunction, fire confined","100 BLOCK PARKFIELD ST, PITTSBURGH PA 15210",3/25/15 22:24,1,231EN23,2901,Carrick,4,29,42003290400,4,29,3,23-Apr,40.39125233,-79.98734141,2015,9,39
842,F150023116,151,"Outside rubbish, trash or waste fire","800 BLOCK ESTELLA ST, PITTSBURGH PA 15210",3/26/15 12:25,0,231EN27,1809,Beltzhoover,3,18,42003562400,4,18,3,21-Apr,40.41579476,-80.00057154,2015,82,17
843,F160022631,143,Grass fire,"MADELINE ST & FROMM WAY, PITTSBURGH PA 15210",3/24/16 17:07,0,231EN23,2902,Carrick,4,29,42003290200,4,29,3,12-Apr,40.39411046,-79.98417658,2016,16,31
844,F160022696,142,Brush or brush-and-grass mixture fire,"5300 BLOCK BUTLER ST, PITTSBURGH PA 15201",3/24/16 20:19,0,231EN07,1011,Upper Lawrenceville,7,10,42003101100,2,10,2,5-Mar,40.48205184,-79.95218377,2016,45,4
845,F160022797,150,"Outside rubbish fire, Other","1700 BLOCK BELLEAU DR, PITTSBURGH PA 15219",3/25/16 9:04,0,231EN38,2509,Fineview,6,25,42003250900,1,25,1,10-Jan,40.46030258,-80.00698007,2016,49,5
846,F160022941,111,Building fire,"2100 BLOCK ROSE ST, PITTSBURGH PA 15219",3/25/16 20:23,1,231EN04,511,Terrace Village,6,5,42003051100,3,5,2,1-Feb,40.4439198,-79.97667787,2016,213,12
847,F140047190,142,Brush or brush-and-grass mixture fire,"CHESTNUT ST & PHINEAS ST, PITTSBURGH PA 15212",7/2/14 17:56,0,231EN32,2304,Troy Hill,1,23,42003563200,1,23,1,5-Jan,40.45540464,-79.99466877,2014,56,12
848,F160023028,130,"Mobile property (vehicle) fire, Other","PANORAMA ST & ARMORHILL AVE, PITTSBURGH PA 15207",3/26/16 8:59,0,231EN20,3103,New Homestead,5,31,42003310300,3,31,4,20-Apr,40.39293351,-79.92384192,2016,29,6
849,F160023060,113,"Cooking fire, confined to container","400 BLOCK ALICE ST, PITTSBURGH PA 15210",3/26/16 11:23,1,231EN22,3001,Knoxville,3,30,42003300100,4,30,3,7-Apr,40.41011494,-79.9951082,2016,197,18
850,F160023107,154,Dumpster or other outside trash receptacle fire,"MONTOUR WAY & 6TH AVE, PITTSBURGH PA 15222",3/26/16 14:47,0,231EN03,201,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.44127594,-79.99723548,2016,48,42
851,F150057187,131,Passenger vehicle fire,"S NEGLEY AVE & NORTHUMBERLAND, PITTSBURGH PA 15217",7/23/15 13:45,0,231EN18,1403,Squirrel Hill North,8,14,42003140300,3,14,4,18-Feb,40.44117977,-79.9254568,2015,98,14
852,F150057239,154,Dumpster or other outside trash receptacle fire,"2700 BLOCK LIBRARY RD, PITTSBURGH PA 15226",7/23/15 16:26,0,231EN26,3207,Overbrook,4,32,42003320700,4,32,3,25-Apr,40.37844381,-80.00312394,2015,43,11
853,F150057333,142,Brush or brush-and-grass mixture fire,"N WINEBIDDLE ST & KINCAID ST, PITTSBURGH PA 15206",7/23/15 22:42,0,231EN08,1017,Garfield,9,10,42003101700,2,10,5,4-Mar,40.46719234,-79.94235308,2015,59,19
854,F150057348,131,Passenger vehicle fire,"MARLAND ST & KNOX AVE, PITTSBURGH PA 15210",7/24/15 0:38,0,231EN23,3001,Knoxville,3,30,42003300100,4,30,3,7-Apr,40.41201664,-79.99040301,2015,98,22
855,F150057353,151,"Outside rubbish, trash or waste fire","MOONEY RD & BEECHLAND ST, PITTSBURGH PA 15120",7/24/15 1:08,0,231EN13,3102,Lincoln Place,5,31,42003310300,3,31,4,20-Apr,40.37933229,-79.91823728,2015,82,8
856,F150057538,142,Brush or brush-and-grass mixture fire,"4600 BLOCK MARINA DR, PITTSBURGH PA 15207",7/24/15 17:53,0,231EN20,3103,New Homestead,5,31,42003310300,3,31,4,20-Apr,40.38654496,-79.92176351,2015,59,3
857,F150057588,151,"Outside rubbish, trash or waste fire","16TH BLOCK ST & BINGHAM ST, PITTSBURGH PA 15203",7/24/15 21:51,0,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,24-Apr,40.42947014,-79.98232013,2015,82,21
858,F150057687,142,Brush or brush-and-grass mixture fire,"2400 BLOCK ALLEQUIPPA ST, PITTSBURGH PA 15213",7/25/15 9:34,0,231EN10,510,West Oakland,6,4,42003040200,3,4,4,10-Feb,40.44279175,-79.96568994,2015,59,9
859,F150057717,143,Grass fire,"1100 BLOCK MCKINNEY LN, PITTSBURGH PA 15220",7/25/15 12:02,0,231EN29,2016,Ridgemont,2,20,42003563100,5,20,6,18-Jan,40.42352927,-80.03503378,2015,9,2
861,F150057992,142,Brush or brush-and-grass mixture fire,"2600 BLOCK PERRYSVILLE AVE, PITTSBURGH PA 15212",7/26/15 13:18,0,231EN38,2615,Perry South,6,26,42003261500,1,26,1,23-Jan,40.47117479,-80.00844781,2015,59,18
862,F130038857,113,"Cooking fire, confined to container","800 BLOCK REUNION PL, PITTSBURGH PA 15219",6/6/13 22:00,1,231EN04,509,Bedford Dwellings,6,5,42003050900,3,5,2,1-Feb,40.44944835,-79.98019826,2013,240,8
863,F140021269,113,"Cooking fire, confined to container","700 BLOCK MERCER ST, PITTSBURGH PA 15219",3/23/14 10:02,1,231EN04,305,Crawford-Roberts,6,3,42003030500,3,3,2,1-Feb,40.44442876,-79.98729152,2014,238,13
864,F140021302,113,"Cooking fire, confined to container","900 BLOCK BRIGHTON RD, PITTSBURGH PA 15212",3/23/14 13:55,1,231EN32,2201,Homewood North,9,13,42003130100,2,13,5,17-Mar,40.45552397,-79.88801848,2014,238,25
865,F140021316,154,Dumpster or other outside trash receptacle fire,"2ND BLOCK AVE & 10TH ST BRG, PITTSBURGH PA 15219",3/23/14 15:30,0,231EN04,103,Bluff,6,1,42003010300,3,1,2,4-Feb,40.4344804,-79.98981938,2014,57,8
866,F140021330,131,Passenger vehicle fire,"HERRON AVE & MILWAUKEE ST, PITTSBURGH PA 15219",3/23/14 17:25,0,231EN10,501,Middle Hill,6,5,42003050600,3,5,2,5-Feb,40.45227105,-79.96437732,2014,106,11
867,F150058010,150,"Outside rubbish fire, Other","WALBRIDGE ST & HERSCHEL ST, PITTSBURGH PA 15220",7/26/15 14:15,0,231EN30,2020,Elliott,2,20,42003562600,5,20,6,17-Jan,40.43788364,-80.03735251,2015,48,12
868,F150058131,131,Passenger vehicle fire,"DURANGO WAY & FLEURY WAY, PITTSBURGH PA 15208",7/27/15 0:47,0,231EN17,1304,Homewood South,9,13,42003130400,2,13,5,17-Mar,40.45425925,-79.88920765,2015,98,30
869,F150058151,113,"Cooking fire, confined to container","100 BLOCK KENNEDY AVE, PITTSBURGH PA 15214",7/27/15 2:48,1,231EN34,2615,Perry South,1,26,42003261500,1,26,1,23-Jan,40.47444306,-80.0080969,2015,253,18
870,F150058281,160,"Special outside fire, Other","200 BLOCK SHADY AVE, PITTSBURGH PA 15208",7/27/15 13:21,0,231EN18,708,Shadyside,8,7,42003070800,2,7,4,11-Mar,40.45924818,-79.92206668,2015,24,21
871,F150058291,151,"Outside rubbish, trash or waste fire","700 BLOCK EATHAN AVE, PITTSBURGH PA 15226",7/27/15 13:53,0,231EN26,1919,Brookline,4,19,42003191900,4,19,6,26-Apr,40.39793439,-80.01798081,2015,82,35
872,F150058336,111,Building fire,"5800 BLOCK ALDERSON ST, PITTSBURGH PA 15217",7/27/15 16:07,1,231EN12,1414,Squirrel Hill South,5,14,42003141400,3,14,4,21-Feb,40.42893166,-79.92327843,2015,230,26
873,F150058669,173,Cultivated trees or nursery stock fire,"S ST CLAIR ST & BAUM BLVD, PITTSBURGH PA 15221",7/28/15 18:16,0,231EN08,1115,East Liberty,7,8,42003111500,2,8,5,23-Mar,40.45918413,-79.93103071,2015,1,28
874,F150058675,100,"Fire, Other","5300 BLOCK PENN AVE, PITTSBURGH PA 15221",7/28/15 18:39,0,231EN08,1017,Bloomfield,7,8,42003080900,2,8,5,23-Mar,40.46437508,-79.93844245,2015,17,21
875,F150058713,140,"Natural vegetation fire, Other","00 BLOCK WATSON BLVD, PITTSBURGH PA 15214",7/28/15 22:24,0,231EN34,2607,Perry North,1,26,42003260700,1,26,1,15-Jan,40.47849371,-80.01197188,2015,31,14
876,F150058831,111,Building fire,"WYNETT ST & FADETTE ST, PITTSBURGH PA 15204",7/29/15 11:18,1,231EN31,2022,Sheraden,2,20,42003202200,5,20,6,16-Jan,40.45248439,-80.06729779,2015,230,27
877,F150058889,113,"Cooking fire, confined to container","2100 BLOCK JANE ST, PITTSBURGH PA 15203",7/29/15 14:37,1,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,24-Apr,40.42645125,-79.97676738,2015,253,21
878,F140048023,143,Grass fire,"2900 BLOCK FREDERICK ST, PITTSBURGH PA 15212",7/5/14 22:40,0,231EN35,2715,Marshall-Shadeland,1,27,42003271500,1,27,1,14-Jan,40.47088421,-80.02995603,2014,17,13
879,F150059060,140,"Natural vegetation fire, Other","300 BLOCK HALKET ST, PITTSBURGH PA 15213",7/30/15 5:24,0,231EN10,409,South Oakland,3,4,42003040900,3,4,4,14-Feb,40.43707805,-79.96153972,2015,31,7
880,F150059185,142,Brush or brush-and-grass mixture fire,"POTOMAC AVE & BANKSVILLE RD, PITTSBURGH PA 15216",7/30/15 14:28,0,231EN28,2023,Banksville,2,20,42003202300,5,20,6,9-Apr,40.40331963,-80.04086864,2015,59,11
881,F150059201,113,"Cooking fire, confined to container","5600 BLOCK PENN AVE, PITTSBURGH PA 15206",7/30/15 15:08,1,231EN07,1115,East Liberty,9,8,42003111500,2,8,5,23-Mar,40.46301193,-79.93027491,2015,253,28
882,F150059202,160,"Special outside fire, Other","2800 BLOCK NEW BEAVER AVE, PITTSBURGH PA 15212",7/30/15 15:10,0,231EN35,2704,Marshall-Shadeland,1,27,42003980900,1,27,1,14-Jan,40.46616933,-80.03635065,2015,24,19
883,F150059214,140,"Natural vegetation fire, Other","SHADY AVE & ELLSWORTH AVE, PITTSBURGH PA 15232",7/30/15 15:35,0,231EN08,708,Shadyside,8,7,42003070800,2,7,4,11-Mar,40.45919357,-79.92207194,2015,31,21
884,F160023145,111,Building fire,"500 BLOCK KNOLL ST, PITTSBURGH PA 15212",3/26/16 17:21,1,231EN32,2304,East Allegheny,1,23,42003563200,1,23,1,6-Jan,40.45743796,-80.00189362,2016,213,9
885,F140007935,111,Building fire,"5800 BLOCK ALDERSON ST, PITTSBURGH PA 15217",1/28/14 1:45,1,231EN18,1414,Squirrel Hill South,5,14,42003141400,3,14,4,21-Feb,40.42893166,-79.92327843,2014,188,33
886,F150059314,140,"Natural vegetation fire, Other","1000 BLOCK PENN AVE, PITTSBURGH PA 15222",7/30/15 20:46,0,231EN03,201,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.44441983,-79.99553172,2015,31,17
887,F150059344,131,Passenger vehicle fire,"2100 BLOCK E SAW MILL RUN BLVD, PITTSBURGH PA 15226",7/30/15 23:56,0,231EN26,3207,Overbrook,4,32,42003320400,4,32,3,25-Apr,40.39148437,-79.99692938,2015,98,11
888,F150059469,140,"Natural vegetation fire, Other","52ND BLOCK ST & BUTLER ST, PITTSBURGH PA 15201",7/31/15 13:01,0,231EN07,1011,Upper Lawrenceville,7,10,42003101100,2,10,2,5-Mar,40.48041411,-79.95445181,2015,31,4
889,F150059480,140,"Natural vegetation fire, Other","00 BLOCK E BUSWAY, PITTSBURGH PA 15206",7/31/15 13:34,0,231EN08,1115,Brookline,4,19,42003191700,4,19,6,26-Apr,40.41194602,-80.00868319,2015,31,35
891,F140048501,151,"Outside rubbish, trash or waste fire","00 BLOCK MERRITT AVE, PITTSBURGH PA 15227",7/7/14 23:21,0,231EN23,2904,Carrick,4,29,42003290400,4,29,3,23-Apr,40.38383775,-79.977488,2014,63,38
1109,F160029671,111,Building fire,"600 BLOCK THOMPSON ST, PITTSBURGH PA 15206",4/20/16 2:51,4,231EN15,1204,Larimer,9,12,42003120400,2,12,5,12-Mar,40.46521622,-79.91111127,2016,213,26
892,F150059547,113,"Cooking fire, confined to container","5200 BLOCK 2ND AVE, PITTSBURGH PA 15207",7/31/15 17:28,1,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40593466,-79.94318266,2015,253,32
893,F150059661,118,"Trash or rubbish fire, contained","1100 BLOCK SHEFFIELD ST, PITTSBURGH PA 15233",8/1/15 3:55,1,231EN37,2107,Manchester,6,21,42003210700,1,21,1,8-Jan,40.45420401,-80.02126185,2015,44,12
894,F150059724,111,Building fire,"500 BLOCK FRANCIS ST, PITTSBURGH PA 15219",8/1/15 11:09,1,23138413,501,Terrace Village,6,5,42003051000,3,5,2,5-Feb,40.44714196,-79.96742903,2015,230,9
895,F150059755,151,"Outside rubbish, trash or waste fire","2200 BLOCK WILNER DR, PITTSBURGH PA 15221",8/1/15 13:16,0,231EN16,1306,East Hills,9,13,42003130600,2,13,5,19-Mar,40.45338758,-79.86682966,2015,82,20
896,F140049589,113,"Cooking fire, confined to container","400 BLOCK N NEVILLE ST, PITTSBURGH PA 15213",7/11/14 23:37,1,231EN18,507,North Oakland,8,4,42003562000,3,4,4,9-Feb,40.45140073,-79.94953823,2014,238,17
